t,cmd_left,cmd_right,Tu,Tr,u,v,r
291.56666666666666,0.1,0.7,46.623973020707595,11.860046223950441,0.9331211411088418,-0.7621429346730074,1.6456025617962973
291.6,0.1,0.7,46.623973020707595,11.860046223950441,0.9332267790217877,-0.76229174345699,1.6457299227229152
291.6333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9333177227336515,-0.7624392931086792,1.6458514684477457
291.6666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9333950623159188,-0.7625843257659067,1.6459668024359444
291.7,0.1,0.7,46.623973020707595,11.860046223950441,0.933459873367084,-0.7627257762861325,1.6460756410234298
291.73333333333335,0.1,0.7,46.623973020707595,11.860046223950441,0.9335132085572192,-0.762862756742596,1.6461778011483479
291.76666666666665,0.1,0.7,46.623973020707595,11.860046223950441,0.9335560905232985,-0.7629945412894196,1.6462731887355975
291.8,0.1,0.7,46.623973020707595,11.860046223950441,0.9335895060035816,-0.7631205514899764,1.6463617877600434
291.8333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9336144011023776,-0.7632403421862786,1.646443650004473
291.8666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9336316775801314,-0.7633535879719869,1.6465188855197666
291.9,0.1,0.7,46.623973020707595,11.860046223950441,0.9336421900679066,-0.7634600703178509,1.6465876537871105
291.93333333333334,0.1,0.7,46.623973020707595,11.860046223950441,0.9336467441098691,-0.7635596653859077,1.646650155575384
291.96666666666664,0.1,0.7,46.623973020707595,11.860046223950441,0.9336460949422273,-0.7636523325575483,1.6467066254810216
292.0,0.1,0.7,46.623973020707595,11.860046223950441,0.9336409469221547,-0.7637381036905374,1.6467573251326864
292.0333333333333,0.1333,0.6667,43.97964606914165,10.648413038970563,0.9336319535254599,-0.7638170731111991,1.646802537038913
292.06666666666666,0.1667,0.6333,41.5160191425547,9.399056098310568,0.9300838883684435,-0.7628989702827521,1.6127778229945373
292.1,0.2,0.6,39.288003112390996,8.121984309686718,0.9240457641095108,-0.75965718794315,1.557171748839116
292.1333333333333,0.2333,0.5667,37.32638210209518,6.8165641127440555,0.9164352556304765,-0.7534157600590089,1.48693315274363
292.1666666666667,0.2667,0.5333,35.66217886167396,5.482378821787641,0.9080634461235817,-0.743880662000292,1.405689286798218
292.2,0.3,0.5,34.33668095595582,4.131581031890573,0.8996712728018704,-0.730976257681041,1.3152678924984085
